height,weight,chest_circ,tshirt_size,color
1730,838,104.7,Large,lawngreen
1500,644,102.7,Large,lawngreen
1615,809,103.8,Large,lawngreen
1645,677,90.6,Small,red
1727,847,109.5,Large,lawngreen
1667,781,103.2,Large,lawngreen
1519,552,98.1,Medium,blue
1700,832,111.3,Large,lawngreen
1628,694,86.0,Extra Small,yellow
1600,786,106.8,Large,lawngreen
1747,851,102.5,Large,lawngreen
1583,678,92.5,Small,red
1662,645,92.7,Small,red
1697,618,87.3,Extra Small,yellow
1732,843,94.8,Small,red
1647,793,98.2,Medium,blue
1589,727,102.9,Large,lawngreen
1545,645,96.5,Medium,blue
1659,755,102.8,Large,lawngreen
1522,555,89.1,Extra Small,yellow
1651,779,99.7,Medium,blue
1767,763,101.6,Medium,blue
1608,785,100.8,Medium,blue
1605,717,99.7,Medium,blue
1734,674,90.2,Small,red
1661,730,97.2,Medium,blue
1589,754,96.0,Medium,blue
1741,776,91.2,Small,red
1670,810,107.9,Large,lawngreen
1680,667,86.5,Extra Small,yellow
1736,791,95.7,Medium,blue
1682,763,99.0,Medium,blue
1714,650,93.6,Small,red
1546,513,85.6,Extra Small,yellow
1634,591,91.7,Small,red
1568,658,93.0,Small,red
1536,504,87.6,Extra Small,yellow
1584,685,96.2,Medium,blue
1646,629,88.2,Extra Small,yellow
1664,568,89.1,Extra Small,yellow
1658,661,90.2,Small,red
1738,683,91.0,Small,red
1745,791,92.3,Small,red
1595,907,107.2,Large,lawngreen
1625,783,98.7,Medium,blue
1623,709,96.7,Medium,blue
1518,509,84.1,Extra Small,yellow
1525,623,100.8,Medium,blue
1557,664,91.9,Small,red
1730,921,109.3,Large,lawngreen
1601,671,98.3,Medium,blue
1597,547,83.9,2X-Small,pink
1743,784,102.7,Large,lawngreen
1683,590,92.5,Small,red
1752,763,101.5,Medium,blue
1618,709,96.7,Medium,blue
1620,703,101.8,Medium,blue
1649,581,86.2,Extra Small,yellow
1709,593,84.6,Extra Small,yellow
1587,753,104.4,Large,lawngreen
1632,662,91.7,Small,red
1527,683,105.7,Large,lawngreen
1660,758,103.4,Large,lawngreen
1632,613,86.4,Extra Small,yellow
1742,730,94.2,Small,red
1709,700,88.5,Extra Small,yellow
1619,751,104.8,Large,lawngreen
1675,738,99.6,Medium,blue
1634,642,98.8,Medium,blue
1679,595,89.2,Extra Small,yellow
1614,569,84.8,Extra Small,yellow
1684,596,86.1,Extra Small,yellow
1597,631,93.7,Small,red
1610,589,85.5,Extra Small,yellow
1688,746,94.3,Small,red
1725,864,99.7,Medium,blue
1609,608,93.6,Small,red
1585,504,81.0,2X-Small,pink
1562,549,88.7,Extra Small,yellow
1547,530,89.7,Extra Small,yellow
1611,692,96.1,Medium,blue
1740,713,100.4,Medium,blue
1555,705,97.2,Medium,blue
1650,699,97.1,Medium,blue
1583,659,91.3,Small,red
1647,632,85.8,Extra Small,yellow
1532,696,94.6,Small,red
1619,593,92.0,Small,red
1704,695,90.2,Small,red
1689,797,97.0,Medium,blue
1657,619,91.1,Small,red
1647,677,92.6,Small,red
1670,544,89.2,Extra Small,yellow
1496,646,97.1,Medium,blue
1717,882,111.7,Large,lawngreen
1531,634,94.3,Small,red
1666,765,98.1,Medium,blue
1574,654,89.2,Extra Small,yellow
1663,837,100.0,Medium,blue
